reward_offset,baseline,mean_reward,final_window,final_reward,final_optimal_percent,trials,steps,alpha,beta,seed
0.0,Fixed 0,1.3678090299033556,200,1.5118277399928928,83.40625,2000,1000,0.1,0.1,42
0.0,Fixed -4,1.091999842998042,200,1.2167755344132407,49.600500000000004,2000,1000,0.1,0.1,42
0.0,Fixed +4,1.2585932466017575,200,1.4120382676943324,68.145,2000,1000,0.1,0.1,42
0.0,Running average,1.3714680655463445,200,1.5121485284433265,84.17725,2000,1000,0.1,0.1,42
0.0,Exponential average,1.3720072548575166,200,1.5164120588002645,85.76950000000001,2000,1000,0.1,0.1,42
4.0,Fixed 0,5.0891118214405955,200,5.207731421801575,48.47525,2000,1000,0.1,0.1,42
4.0,Fixed -4,4.7227313454082305,200,4.811108640935608,29.925749999999997,2000,1000,0.1,0.1,42
4.0,Fixed +4,5.366639876702347,200,5.507892071077128,83.06125,2000,1000,0.1,0.1,42
4.0,Running average,5.364921288035448,200,5.508288676565249,83.29625,2000,1000,0.1,0.1,42
4.0,Exponential average,5.3394303143326995,200,5.489135808991498,79.61575,2000,1000,0.1,0.1,42
