hand_value,is_soft,dealer_upcard,can_double,action,estimated_value,visits
7,False,5,True,STAND,-0.174079,787
7,False,5,True,DOUBLE,-0.406780,59
7,False,6,False,HIT,-0.428571,7
7,False,6,False,STAND,-0.179487,78
7,False,6,True,HIT,-0.164384,73
7,False,6,True,STAND,-0.403509,57
7,False,6,True,DOUBLE,-0.027548,726
7,False,7,False,HIT,-0.287879,66
7,False,7,False,STAND,-0.285714,14
7,False,7,True,HIT,-0.284211,760
7,False,7,True,STAND,-0.476923,65
7,False,7,True,DOUBLE,-0.508475,118
7,False,8,False,HIT,-0.689655,29
7,False,8,False,STAND,-0.480000,50
7,False,8,True,HIT,-0.373427,715
7,False,8,True,STAND,-0.423729,118
7,False,8,True,DOUBLE,-0.811594,69
7,False,9,False,HIT,-0.777778,9
7,False,9,False,STAND,-0.526882,93
7,False,9,True,HIT,-0.462833,713
7,False,9,True,STAND,-0.516779,149
7,False,9,True,DOUBLE,-0.968750,64
7,False,10,False,HIT,-0.613333,75
7,False,10,False,STAND,-0.600000,270
7,False,10,True,HIT,-0.521668,3046
7,False,10,True,STAND,-0.566474,346
7,False,10,True,DOUBLE,-1.088608,237
8,False,1,False,HIT,-0.523490,149
8,False,1,False,STAND,-0.800000,20
8,False,1,True,HIT,-0.532453,909
8,False,1,True,STAND,-0.765306,196
8,False,1,True,DOUBLE,-0.897436,78
8,False,2,False,HIT,-0.134615,104
8,False,2,False,STAND,-0.232877,73
8,False,2,True,HIT,-0.119949,792
8,False,2,True,STAND,-0.278481,158
8,False,2,True,DOUBLE,-0.265734,143
8,False,3,False,HIT,-0.096552,145
8,False,3,False,STAND,-0.333333,27
8,False,3,True,HIT,-0.186528,193
8,False,3,True,STAND,-0.276596,94
8,False,3,True,DOUBLE,-0.106568,807
8,False,4,False,HIT,-0.014085,142
8,False,4,False,STAND,-0.250000,16
8,False,4,True,HIT,-0.035204,909
8,False,4,True,STAND,-0.280899,89
8,False,4,True,DOUBLE,-0.160000,175
8,False,5,False,HIT,-0.210526,19
8,False,5,False,STAND,-0.093168,161
8,False,5,True,HIT,0.071429,896
8,False,5,True,STAND,-0.242424,66
8,False,5,True,DOUBLE,-0.037037,162
8,False,6,False,HIT,0.027027,148
8,False,6,False,STAND,-0.500000,20
8,False,6,True,HIT,0.011364,88
8,False,6,True,STAND,-0.277778,72
8,False,6,True,DOUBLE,0.099318,1027
8,False,7,False,HIT,-0.062069,145
8,False,7,False,STAND,-0.545455,22
8,False,7,True,HIT,-0.232877,73
8,False,7,True,STAND,-0.583333,72
8,False,7,True,DOUBLE,-0.226531,980
8,False,8,False,HIT,-0.099291,141
8,False,8,False,STAND,-0.222222,18
8,False,8,True,HIT,-0.226226,999
8,False,8,True,STAND,-0.441860,86
8,False,8,True,DOUBLE,-0.637681,69
8,False,9,False,HIT,-0.379085,153
8,False,9,False,STAND,-0.692308,13
8,False,9,True,HIT,-0.354269,1019
8,False,9,True,STAND,-0.610390,77
8,False,9,True,DOUBLE,-0.721311,61
8,False,10,False,HIT,-0.380357,560
8,False,10,False,STAND,-0.608247,97
8,False,10,True,HIT,-0.419183,3941
8,False,10,True,STAND,-0.532544,338
8,False,10,True,DOUBLE,-0.724014,279
9,False,1,False,HIT,-0.484615,260
9,False,1,False,STAND,-0.818182,33
9,False,1,True,HIT,-0.428333,1200
9,False,1,True,STAND,-0.853659,82
9,False,1,True,DOUBLE,-1.325000,80
9,False,2,False,HIT,0.012195,246
9,False,2,False,STAND,-0.419355,31
9,False,2,True,HIT,-0.040404,99
9,False,2,True,STAND,-0.284211,95
9,False,2,True,DOUBLE,0.059423,1178
9,False,3,False,HIT,-0.004098,244
9,False,3,False,STAND,-0.500000,24
9,False,3,True,HIT,0.028846,104
9,False,3,True,STAND,-0.200000,95
9,False,3,True,DOUBLE,0.144014,1111
9,False,4,False,HIT,0.068966,261
9,False,4,False,STAND,-0.500000,24
9,False,4,True,HIT,0.137255,102
9,False,4,True,STAND,-0.135802,81
9,False,4,True,DOUBLE,0.255283,1183
9,False,5,False,HIT,0.157706,279
9,False,5,False,STAND,-0.393939,33
9,False,5,True,HIT,0.121972,1197
9,False,5,True,STAND,-0.300000,100
9,False,5,True,DOUBLE,-0.057143,105
9,False,6,False,HIT,0.134921,252
9,False,6,False,STAND,-0.185185,54
9,False,6,True,HIT,0.081633,98
9,False,6,True,STAND,-0.181818,88
9,False,6,True,DOUBLE,0.273632,1206
9,False,7,False,HIT,0.141700,247
9,False,7,False,STAND,-0.454545,33
9,False,7,True,HIT,0.073251,1215
9,False,7,True,STAND,-0.433628,113
9,False,7,True,DOUBLE,-0.071429,112
9,False,8,False,HIT,0.016393,244
9,False,8,False,STAND,-0.777778,27
9,False,8,True,HIT,0.002762,724
9,False,8,True,STAND,-0.517241,116
9,False,8,True,DOUBLE,0.052910,567
9,False,9,False,HIT,-0.140794,277
9,False,9,False,STAND,-0.416667,24
9,False,9,True,HIT,-0.147327,767
9,False,9,True,STAND,-0.607477,107
9,False,9,True,DOUBLE,-0.280488,492
9,False,10,False,HIT,-0.292919,1031
9,False,10,False,STAND,-0.546875,128
9,False,10,True,HIT,-0.287478,4616
9,False,10,True,STAND,-0.563830,376
9,False,10,True,DOUBLE,-0.603922,510
10,False,1,False,HIT,-0.327320,388
10,False,1,False,STAND,-0.787234,47
10,False,1,True,HIT,-0.309580,1263
10,False,1,True,STAND,-0.805825,103
10,False,1,True,DOUBLE,-0.662651,166
10,False,2,False,HIT,0.173333,375
10,False,2,False,STAND,-0.162791,43
10,False,2,True,HIT,0.053030,132
10,False,2,True,STAND,-0.360000,100
10,False,2,True,DOUBLE,0.452906,1497
10,False,3,False,HIT,0.189055,402
10,False,3,False,STAND,-0.317073,41
10,False,3,True,HIT,0.248082,391
10,False,3,True,STAND,-0.113043,115
10,False,3,True,DOUBLE,0.405745,1114
10,False,4,False,HIT,0.357143,364
10,False,4,False,STAND,-0.142857,35
10,False,4,True,HIT,0.254902,102
10,False,4,True,STAND,-0.252747,91
10,False,4,True,DOUBLE,0.462209,1376
10,False,5,False,HIT,0.314214,401
10,False,5,False,STAND,-0.250000,48
10,False,5,True,HIT,0.327586,116
10,False,5,True,STAND,-0.118110,127
